Id,País,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
74,Iraque,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,Irlanda,0,46764,41066,0,0,0,0,0,0,33327,0,286,244,0,527
76,Itália,7068,6286,92297,6414,13677,3096,0,4050,2716,16921,2212,467,4411,7280,30587
77,Jamaica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Japão,501410,186806,245497,146242,521076,508200,119450,125295,126795,149334,140263,129116,129766,119532,80722
79,Jordânia,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0
80,Letônia,0,0,0,0,0,0,0,0,4110,0,0,0,0,0,16
81,Líbano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Libéria,0,0,0,0,0,0,0,0,0,3758,24509,22779,30614,43960,82247
83,Luxemburgo,49969,39893,75139,18991,34609,60681,19653,24185,24666,12831,12877,6196,0,838,7629
84,Macau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
85,Malásia,0,0,0,0,0,0,0,0,0,48,158,0,0,0,0
86,Malavi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9912
87,Malta,0,0,0,0,0,0,0,0,0,1695,12489,13178,18895,18714,30760
88,"Marshall, Ilhas",0,0,0,0,0,0,0,0,0,3359,23062,25909,31205,34418,39108
89,Martinica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
90,Mauritânia,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0
91,México,0,0,8550,0,0,25857,0,0,2956,12492,8,250,11,39,22
92,Moçambique,0,0,0,0,0,0,0,0,0,0,0,0,0,2310,0
93,Montenegro,0,0,0,0,0,0,0,0,0,0,55,29,79,0,0
94,Namíbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Nicarágua,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Nigéria,156,0,264,16645,3595,0,0,0,0,11425,66992,38608,181419,82517,27264
97,Noruega,0,0,88956,36619,21383,57643,7079,0,0,11142,3767,16993,10198,43027,5104
98,Nova Caledônia,0,0,0,0,0,0,0,0,0,0,0,0,19151,0,0
99,Nova Zelândia,0,0,10579,11181,5096,16475,4285,9976,9818,6534,3332,610,11134,219,7515
100,Omã,0,0,0,0,0,0,0,0,0,0,0,0,0,864,0
101,Países Baixos,308645,389550,520770,674520,313482,939056,231451,233156,0,41846,192913,1780,12275,44274,7202
102,Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188
103,Panamá,54,0,0,2301,0,0,0,0,0,4300,36935,39193,77964,60882,82958
104,Paraguai,879014,960186,516449,783103,1162392,1429875,1236798,2641156,6668118,8728489,6246124,7168256,13714889,12232963,9297641
