País,price_2009,price_2010,price_2011,price_2012,price_2013,price_2014,price_2015,price_2016,price_2017,price_2018,price_2019,price_2020,price_2021,price_2022,price_2023
Malavi,,,,,,,,,,,,,,,1.0
Malta,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0
Malásia,,,,,,,,,,1.0,1.0,,,,
"Marshall, Ilhas",,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0
Martinica,,,,,,,,,,,,,,,1.0
Mauritânia,,,,,,,,,,,,,1.0,,
Montenegro,,,,,,,,,,,1.0,1.0,1.0,,
Moçambique,,,,,,,,,,,,,,1.0,
México,,,1.0,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Namíbia,,,,,,,,,,,,,,,
Nicarágua,1.0,,,,,,,,,,,,,,
Nigéria,1.0,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0
Noruega,,,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0
Nova Caledônia,,,,,,,,,,,,,1.0,,
Nova Zelândia,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Omã,,,,,,,,,,,,,,1.0,
Palau,,,,,,,,,,,,,,,1.0
Panamá,1.0,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0
Paraguai,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Países Baixos,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0
Peru,,,,,,,,,,1.0,1.0,,1.0,,1.0
Pitcairn,,,,,,,,,,,,,,,1.0
Polônia,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0
Porto Rico,,,,,,,,,,,,,,,
Portugal,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0
Quênia,,,,1.0,1.0,,,,,1.0,,,,1.0,
Reino Unido,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
República Dominicana,,,,,,,,,,,,,,,
Rússia,1.0,,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,
Senegal,,,,,,,,,,,,,,,
Serra Leoa,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0
Singapura,,,,,,,,,,,,,1.0,1.0,1.0
Suazilândia,,,,,,,,,,,,,1.0,,
Suriname,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
Suécia,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
Suíça,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
São Cristóvão e Névis,,,,,,,,,,,,,,,1.0
São Tomé e Príncipe,,,,,,,,,,1.0,,,,,
