id,control,Produto,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
46,ou_Mosto_uva,  Mosto de uva,0,12438,291399,29304,325562,1818425,335966,9458,63971,715708,5736852,48044,803171,1579638,359626
47,ou_Mosto_sulfitado,  Mosto sulfitado,0,0,0,0,0,0,0,0,0,0,94000,0,0,0,0
48,ou_Nectar,  Nectar de uva,4933019,5397459,5703340,5644055,5347775,3488907,3959884,3288046,4727294,3517417,4006608,3319597,4021229,4719055,3604413
49,ou_Outros_produtos,  Outros produtos,418132,284824,385029,484205,529274,639191,660042,763041,1082923,1773526,2294581,2543754,2105686,7406812,7459271
50,ou_Polpa,  Polpa de uva,1339958,2774322,1875782,1995839,1981851,2358125,2500025,1924093,1876212,1853162,1838395,1129453,1002033,1058011,1331651
51,ou_Preparado_líquido,  Preparado líquido para refresco,467005,377010,367193,613313,623481,259320,160245,33684,30519,76888,52567,11366,23455,19711,17178
52,ou_Refrigerante,  Refrigerante +50% suco,0,0,0,0,0,0,0,0,0,40574,110648,144945,175954,265026,501876
53,ou_Sangria,  Sangria,192082,172214,158868,73590,76039,86279,131599,77070,62272,58498,67279,11017,17222,95605,84157
54,ou_Vinagre_balsamico,  Vinagre balsamico,36937,67502,78540,102259,122749,124379,120677,101991,81944,133714,211653,248771,332217,296664,338926
55,ou_Vinagre_duplo,  Vinagre duplo,426804,912242,875720,1208132,3233270,969702,1164527,1083539,975992,888589,1130092,1075579,795060,987142,1769130
56,ou_Vinagre_simples,  Vinagre simples,2996318,3336175,3386303,4027358,8049936,8180657,8188031,8186761,7686691,6994467,6246945,6049584,5647166,5309881,5047280
57,ou_Vinho_acetificado,  Vinho acetificado,808389,1123858,983700,2110450,3154800,4465675,3359266,3097566,2769202,2158993,2592380,1879227,1448086,1052563,194020
58,ou_Vinho_base,  Vinho base para espumantes,10649,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,ou_Vinho_composto,  Vinho composto,542123,661586,662965,510914,595513,450121,413735,377685,485944,249165,366549,63625,227116,32000,981
60,ou_Vinho_licoroso,  Vinho licoroso,591313,638487,593486,645341,609153,616904,510975,546189,496746,491165,465964,362340,376597,385006,421974
61,ou_Vinho_leve,  Vinho leve,0,0,0,0,0,0,0,0,0,198,306,396,0,27,132064
62,ou_Vinho_gaseificado,  Vinho gaseificado,0,0,0,0,0,0,0,0,0,143,136,4012,53495,14947,410215
