Id,País,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
44,Dinamarca,1980,7034,32797,4716,17892,3240,7080,1278,581,0,240,659,87,2,1734
45,Dominica,0,0,0,0,0,0,0,0,0,0,0,0,460,1485,0
46,El Salvador,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Emirados Arabes Unidos,1398,1035,2120,675,0,640,765,585,675,360,450,581,810,4781,1417
48,Equador,0,0,0,0,0,0,0,0,0,0,2,3780,0,135,2790
49,"Eslovaca, Republica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Espanha,2181,0,5206,0,1972980,0,0,0,0,6123,3540,28,0,0,180
51,Estados Unidos,372319,228968,306787,146585,245368,222267,195896,258072,132688,169109,209765,300178,111085,220373,229839
52,Estônia,5438,15848,450,3321,0,0,0,900,0,0,0,0,0,0,0
53,Filipinas,0,0,0,0,0,0,0,0,0,9608,736,719,2784,375,94
54,Finlândia,0,0,12404,17100,36682,12960,0,7617,0,0,0,0,0,0,5
55,França,0,3614,0,195604,6885,33755,1596,6037,4253,11077,18286,12622,7052,5694,2265
56,Gana,0,0,0,0,0,0,0,0,0,9000,7673,18810,12578,35949,7237
57,Gibraltar,0,0,0,0,0,0,0,0,0,0,23,769,0,0,0
58,Granada,0,0,0,0,0,0,0,0,0,0,0,0,0,5610,0
59,Grécia,0,0,0,0,0,0,0,0,0,232,561,6859,908,920,1294
60,Guatemala,20,0,0,0,0,0,0,0,0,0,1597,0,17347,1283,2053
61,Guiana,0,783,0,0,0,0,0,0,0,0,424,990,2372,2064,33651
62,Guiana Francesa,0,0,0,0,0,0,0,0,0,0,0,0,90,22,0
63,Guine Bissau,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0
64,Guine Equatorial,169,410,956,819,1108,5646,0,0,2639,8389,0,0,0,0,0
65,Haiti,4500,2700,0,0,0,0,0,0,0,79500,81873,399128,670379,553503,559645
66,Honduras,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Hong Kong,50319,0,2063,1609,16013,18130,1229,6975,1934,1742,9651,15159,12507,9371,16255
68,Hungria,0,540,0,0,0,0,0,0,0,0,0,0,87,0,0
69,Ilha de Man,0,0,0,0,0,0,0,0,0,0,28,11,97,165,1428
70,Ilhas Virgens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,India,0,0,0,0,0,0,0,0,0,0,51,7,13,247,60
72,Indonésia,0,0,0,0,0,0,0,0,0,0,0,5,0,0,9
73,Irã,0,0,0,0,0,0,0,0,0,0,0,21,116,47,0
74,Iraque,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,Irlanda,0,3969,5376,0,0,0,0,0,0,7560,0,29,36,0,150
76,Itália,1817,1458,11999,792,1710,604,0,585,468,3661,587,91,696,1129,2922
77,Jamaica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,Japão,217974,112178,100835,29281,91988,106426,31597,34341,33909,36992,40621,36442,39491,37324,22942
79,Jordânia,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
80,Letônia,0,0,0,0,0,0,0,0,387,0,0,0,0,0,8
81,Líbano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Libéria,0,0,0,0,0,0,0,0,0,658,4441,5155,7554,9145,39784
83,Luxemburgo,7845,7344,9547,2444,5135,8281,2295,2759,2719,1778,1666,1086,0,36,581
84,Macau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
85,Malásia,0,0,0,0,0,0,0,0,0,15,48,0,0,0,0
86,Malavi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3660
87,Malta,0,0,0,0,0,0,0,0,0,503,3661,3490,3441,3127,6561
88,"Marshall, Ilhas",0,0,0,0,0,0,0,0,0,923,7276,6270,8644,7240,7417
89,Martinica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
90,Mauritânia,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
91,México,0,0,1350,0,0,1521,0,0,664,2748,4,24,9,6,3
92,Moçambique,0,0,0,0,0,0,0,0,0,0,0,0,0,383,0
93,Montenegro,0,0,0,0,0,0,0,0,0,0,9,9,14,0,0
94,Namíbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Nicarágua,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,Nigéria,41,0,54,6449,1350,0,0,0,0,5175,28437,12094,68247,32234,10800
97,Noruega,0,0,10268,5104,2375,7179,1058,0,0,1295,628,1859,1878,2711,861
98,Nova Caledônia,0,0,0,0,0,0,0,0,0,0,0,0,7227,0,0
99,Nova Zelândia,0,0,2587,2364,1004,2800,809,504,1678,969,500,95,657,63,338
100,Omã,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0
101,Países Baixos,171654,87368,125414,134879,57792,165289,44987,42953,0,9451,44882,248,3791,7034,2244
102,Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
103,Panamá,24,0,0,39,0,0,0,0,0,1183,7918,10821,29520,11490,14785
104,Paraguai,486927,510989,240168,354824,481564,521847,495428,985739,2393468,3234168,2419537,3299013,6522527,5076670,3780378
105,Peru,0,0,0,0,0,0,0,0,0,5193,9755,0,9720,0,47277
106,Pitcairn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
107,Polônia,6982,20464,11732,21663,19249,30181,11654,11457,0,720,5,74,4,0,298
108,Porto Rico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,Portugal,141000,4577,95,47172,23810,71544,47736,0,0,0,18328,7958,6358,1918,13742
110,Quênia,0,0,0,94,6,0,0,0,0,6771,0,0,0,1440,0
111,Reino Unido,30092,123624,122629,82937,59161,305807,68382,117044,60711,67708,34295,22913,25316,18835,11326
112,República Dominicana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,Rússia,21912914,0,0,4528176,5893291,190656,47664,0,0,0,0,1463,181931,66046,0
114,São Cristóvão e Névis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
115,São Tomé e Príncipe,0,0,0,0,0,0,0,0,0,2184,0,0,0,0,0
116,São Vicente e Granadinas,0,0,0,0,0,0,0,0,0,0,0,0,8,20,39
117,Senegal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,Serra Leoa,0,0,0,0,0,0,0,0,0,0,18,9240,6525,8101,23200
119,Singapura,0,0,0,0,0,0,0,0,0,0,0,0,4504,4322,3941
120,Suazilândia,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
121,Suécia,28334,0,1641,2705,3195,10404,1412,291,15445,8062,28,6,23,5,0
122,Suíça,27653,2025,0,4014,2997,27933,15872,4230,6525,0,2223,2827,627,1584,2500
123,Suriname,3830,1836,3774,396,1800,6,453,900,3690,0,3206,4185,900,1225,3105
124,Tailândia,0,0,0,0,0,0,0,0,0,8,128,534,1334,432,189
125,Taiwan (Formosa),0,0,4500,0,0,12519,7200,16967,14988,7589,12,963,1313,25,4208
126,Tanzânia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,"Tcheca, República",9269,1091,6846,7960,3697,4500,2297,3837,2746,2712,2115,563,456,1305,405
128,Togo,0,0,0,0,0,0,0,0,0,0,0,0,1890,17317,14550
129,Toquelau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
130,Trinidade Tobago,0,0,0,531,0,360,0,0,0,0,0,0,0,0,0
131,Tunísia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,Turquia,0,0,0,0,0,0,0,0,0,360,115,0,343,418,28104
133,Tuvalu,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
134,Uruguai,0,914,1238,1135,1526,0,0,0,0,7711,6180,0,136774,637117,326093
135,Vanuatu,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0
136,Venezuela,0,0,0,1029,0,14,0,0,680,71,0,4086,26415,23220,141030
137,Vietnã,743,8820,0,0,0,0,0,0,0,0,20,86,0,130,72
